Title,Price
"LENOVO CHROMEBOOK 100E - 4GB RAM DDR4 - 32GB SSD EMMC - 11.6"" SCREEN - PLAYSTORE SUPPORTED - AUE UPDATE 2027","Rs. 8,640"
Acer 5th Generation Laptop 4GB Ram 128GB SSD Windows 10,"Rs. 17,777"
USA STOCK TOUCH SCREEN 360° Folding Lenovo 300e Chromebook 4GB Ram 32 GB Storage Update 2029/2027 FREE TOUCH STYLUS PEN,"Rs. 14,428"
Apple MacBook Pro A1278 - 8GB RAM 256GB SSD  - 2.5GHz Dual-Core Intel Core i5 - Mid 2012 13.3-inch LED Display - Dual Operating System MacOS Catalina 10.15 - Silver - Daraz Like New Laptops,"Rs. 38,170"
"Dell Chromebook 3180/3100 11.6 Inch HD , 4GB RAM, Windows 10, WiFi, New - 6 Months Warranty","Rs. 9,499"
Lenovo | AMD A4-9120C 9th Gen | 4GB DDR4 RAM | 32GB SSD eMMC + 40GB Could Storage Free  | 1.60Ghz Processor | 11.6 Display | Windows 11 | 2029 Update AUE Chromebook,"Rs. 8,999"
Microsoft Surface pro 5 Core  i5 7th Generation 8GB 256GB ssd 4gb Intel iris Graphics 2 in 1 tablet laptop,"Rs. 41,999"
"Hp Chromebook 11 G6 EE | 4GB RAM DDR4 | 16GB SSD EMMC | Playstore supported | 11.6"" screen - Daraz Like New Laptops","Rs. 8,299"
Lenovo | ChromeBook 100E | 4GB RAM | 32GB Storage | 11.6″ Display | Webcam | Playstore Supported | 2027 Updateable | ChromeBook,"Rs. 8,799"
Microsoft surface pro 6 i5 8th generation 8gb 256gb 4 GB Intel HD Graphics 620  2 in 1 tablet laptop,"Rs. 48,999"
HP Chromebook 11 G4 | 16GB Storage | 2GB RAM | 11.6″ Display | Factory Playstore | Black & Silver - Daraz Like New Laptops,"Rs. 7,999"
laptop DELL XPS13 9360 i7,"Rs. 84,500"
Daraz Like New Laptops  - Lenovo Chromebook 300E/500E X360 TOUCH SCREEN - 2027/2029 UPDATE -  Intel Celeron 4GB RAM 32GB Chrome OS,"Rs. 12,899"
Dell Chromebook 3180 –  4GB RAM 16GB Storage 11.6″ HD Display 7Days checking warranty -Dell laptop,"Rs. 8,999"
Hp Chromebook 11 G8 EE | ‎Intel HD Graphics 400 | 4GB Ram | 32GB Storage | 11.6 inch Display | Intel Celeron N4020 | 2029 updates | with free type c charger,"Rs. 11,292"
Acer ChromeBook R11 | Touch Screen | 32GB Storage | 4GB RAM | 360 Rotatable | 11.6″ HD Display | Playstore Supported | - Daraz Like New Laptops,"Rs. 14,895"
"Hp Chromebook G8 (  TOUCH SCREEN ) (WITH SMART WATCH)  - 4GB Ram DDR4 - 32GB SSD  - 11.6"" Screen Size - Chrome OS -","Rs. 8,844"
"HP 11 G8 Chromebook 4GB RAM 32GB SSD 11"" Display","Rs. 11,999"
Acer  ChromeBook Spin R752 | Touch Screen Laptop | 32GB Storage | 4GB RAM | 360 Rotatable | 11.6″ HD Display | Windows 10 Installed,"Rs. 12,960"
"Hp Chromebook G8 (  TOUCH SCREEN )  - 4GB Ram DDR4 - 32GB SSD  - 11.6"" Screen Size - Chrome OS -","Rs. 7,913"
DELL CHROMEBOOK LAPTOP 3120 P22T - 4GB/16GB - Longer Battery Life,"Rs. 8,900"
"Daraz Like New Laptops - Hp Chromebook 11 G8 - 4GB Ram DDR4 - 32GB SSD - 11.6"" Screen Size - Chrome OS - FREE LAPTOP BAG AND CHARGER","Rs. 9,309"
Dell 3180 CROMEBOOK,"Rs. 7,500"
Microsoft surface pro 7 I5 10th Generation 8gb 256gb 4 GB Intel HD Graphics 620  2 in 1 tablet laptop with Original de attachable lighting keyboard,"Rs. 61,999"
"Mini Portable Washing Machine | Premium Look Spin Dryer Machine | Compact & Powerful Washer for Small Clothes, Travel, Hostel & Home Use","Rs. 1,189"
"Lenovo Thinkpad T430 Built Business Laptop Computer (Intel Dual Core i5 Up to 3.3 Ghz Processor, 8GB Memory, 500GB HDD,","Rs. 34,000"
Dell Chromebook 3100 (2029 Update) | MediaTek MT8173 Quad-Core | 4GB DDR4 RAM | 16GB Storage | 11.6” Display | windows Supported | Chrome OS | Like New,"Rs. 12,000"
Dell Chromebook 3100 Touch Screen | 32GB Storage | 4GB RAM | ‎Intel Celeron 1.60GHz | 11.6 Inch Display | Playstore 2027 UPDATE Chromebook Daraz Like New Laptops,"Rs. 13,033"
"HP G10 Chromebook | 9th Generation | 4GB DDR4 RAM | 32GB SSD eMMC | AMD A4-9120C APU / Intel N4020 | 11.6"" HD Display Updates til 2029 with Type C Original Branded Charger","Rs. 11,498"
Hp Chromebook 11 G8 EE | ‎Intel HD Graphics 400 | 4GB Ram | 32GB Storage | 11.6 inch Display | Intel Celeron N4020 | 2027 Updatable | Playstore Supported | Chromebook,"Rs. 8,999"
Dell 3100 Chromebook Laptop  - 4GB / 16GB - Playstore Supported - Long Battery Life - Best for Online Classes,"Rs. 11,132"
Acer | C740/C720 | 128GB Storage | 4GB RAM | Windows 10 / 11.6″ Display | Play Store Supported | Android Apps Supported | Chromebook -,"Rs. 13,964"
Dell Chromebook 3120 | 16GB Storage | 2GB RAM | Dual-core 1.6GHz | 6th Generation | 11.6″ Screen | Playstore Supported |  Daraz Like New Laptops,"Rs. 7,999"
Lenovo Thinkpad Yoga Windows Converted,"Rs. 10,350"
"Dell 3180 Chromebook 11.6 inches HD screen, 4GB Ram 16GB SSD, HDMI, WiFi, Webcam, Chrome OS / Windows 10","Rs. 7,848"
Acer | Chromebook Spin 511 R752T | 32GB Storage | 4GB RAM | Intel UHD Graphics 500 | Intel Celeron N4020 | 11.6″ Display | Windows 10 | ChromeBook - Daraz Like New Laptops,"Rs. 19,999"
"Gaming Laptop HP Victus 15-FB2082WM - 14th Gen - NVIDIA RTX 4050 6GB Graphics - Ryzen 5 8000 series - 8GB DDR4 - 512GB SSD - Backlit Keyboard - 15.6"" FHD IPS 144Hz - Daraz Like New Laptop","Rs. 275,000"
"Microsoft Surface Laptop Go 12.4"" Touch - Core i5-1035G1 10th Gen - 8GB DDR4 - 256GB NVME SSD - Windows 11 Pro - Platinum","Rs. 77,800"
Microsoft Surface Laptop Go 2 – 11th Gen Intel Core i5-1135G7 | 8GB RAM | 128GB SSD | 12.4” PixelSense Touchscreen | Windows 11,"Rs. 75,000"
Dell Chromebook 3100 | LAPTOP | 4GB 32GB | TOUCH | PLAYSTORE 2029 | dell chromebook 3100 | chromebook dell | student chromebook | school laptop | chrome os laptop | online class laptop  | budget chromebook pakistan | Chrome OS |,"Rs. 12,499"
